"Country Name","Country Code","Indicator Name.x","Indicator Code.x","Year","Internet pop on global","Region","IncomeGroup","SpecialNotes","TableName","Indicator Name.y","Indicator Code.y","2020","Country_population"
"Aruba","ABW",NA,NA,2000,0.0000022946524151881,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,90853
"Aruba","ABW",NA,NA,2001,0.00000256480462394125,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,92898
"Aruba","ABW",NA,NA,2002,0.00000284699494459862,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,94992
"Aruba","ABW",NA,NA,2003,0.00000317693792556804,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,97017
"Aruba","ABW",NA,NA,2004,0.00000353095353518766,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,98737
"Aruba","ABW",NA,NA,2005,0.00000390185133013954,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,100031
"Aruba","ABW",NA,NA,2006,0.00000428252037518221,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,100834
"Aruba","ABW",NA,NA,2007,0.00000468634156825586,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,101222
"Aruba","ABW",NA,NA,2008,0.00000780020682576466,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,101358
"Aruba","ABW",NA,NA,2009,0.00000860344482431381,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,101455
"Aruba","ABW",NA,NA,2010,0.00000910660925210848,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,101669
"Aruba","ABW",NA,NA,2011,0.0000100547121746324,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,102046
"Aruba","ABW",NA,NA,2012,0.0000107108327193747,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,102560
"Aruba","ABW",NA,NA,2013,0.0000113523821997578,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,103159
"Aruba","ABW",NA,NA,2014,0.0000119849845902472,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,103774
"Aruba","ABW",NA,NA,2015,0.0000126052976990455,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,104341
"Aruba","ABW",NA,NA,2016,0.0000132133260098021,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,104872
"Aruba","ABW",NA,NA,2017,0.0000136346656305752,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,105366
"Aruba","ABW",NA,NA,2018,0,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,105845
"Aruba","ABW",NA,NA,2019,0,"Latin America & Caribbean","High income",NA,"Aruba","Population, total","SP.POP.TOTL",NA,106314
"Afghanistan","AFG",NA,NA,2000,0,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,20779953
"Afghanistan","AFG",NA,NA,2001,0.000000164749560295531,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,21606988
"Afghanistan","AFG",NA,NA,2002,0.000000164347360296703,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,22600770
"Afghanistan","AFG",NA,NA,2003,0.00000327673168847011,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,23680871
"Afghanistan","AFG",NA,NA,2004,0.00000406792418937418,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,24726684
"Afghanistan","AFG",NA,NA,2005,0.0000482276530046307,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,25654277
"Afghanistan","AFG",NA,NA,2006,0.0000844834601043944,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,26433049
"Afghanistan","AFG",NA,NA,2007,0.0000771493066442466,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,27100536
"Afghanistan","AFG",NA,NA,2008,0.0000754903516258659,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,27722276
"Afghanistan","AFG",NA,NA,2009,0.000147379912725846,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,28394813
"Afghanistan","AFG",NA,NA,2010,0.000168656737168704,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,29185507
"Afghanistan","AFG",NA,NA,2011,0.000215036525982409,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,30117413
"Afghanistan","AFG",NA,NA,2012,0.000239877048542102,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,31161376
"Afghanistan","AFG",NA,NA,2013,0.000265551233463517,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,32269589
"Afghanistan","AFG",NA,NA,2014,0.000322012808691208,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,33370794
"Afghanistan","AFG",NA,NA,2015,0.00038732414144595,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,34413603
"Afghanistan","AFG",NA,NA,2016,0,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,35383128
"Afghanistan","AFG",NA,NA,2017,0.000553341363930192,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,36296400
"Afghanistan","AFG",NA,NA,2018,0,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,37172386
"Afghanistan","AFG",NA,NA,2019,0,"South Asia","Low income",NA,"Afghanistan","Population, total","SP.POP.TOTL",NA,38041754
"Angola","AGO",NA,NA,2000,0.00000281677789637766,"Sub-Saharan Africa","Lower middle income",NA,"Angola","Population, total","SP.POP.TOTL",NA,16395473
"Angola","AGO",NA,NA,2001,0.0000037213102011258,"Sub-Saharan Africa","Lower middle income",NA,"Angola","Population, total","SP.POP.TOTL",NA,16945753
"Angola","AGO",NA,NA,2002,0.00000755145783903999,"Sub-Saharan Africa","Lower middle income",NA,"Angola","Population, total","SP.POP.TOTL",NA,17519417
"Angola","AGO",NA,NA,2003,0.0000105753017220534,"Sub-Saharan Africa","Lower middle income",NA,"Angola","Population, total","SP.POP.TOTL",NA,18121479
"Angola","AGO",NA,NA,2004,0.0000135566974979052,"Sub-Saharan Africa","Lower middle income",NA,"Angola","Population, total","SP.POP.TOTL",NA,18758145
